,source,content,category,sentiment,date_parsed
0,20 minuten,Verletzung im Schädelinneren : Frau lief nach Corona-Test Hirnwasser aus dem Kopf. In Osnabrück ist eine Frau beim Corona-Schnelltest im Inneren ihres Schädels verletzt worden. Danach lief ihr wochenlang Hirnwasser aus dem Kopf.,world,0,2021-05-01
1,blick,"USA: Freizeitpark wieder auf. 13 Monate lang war Disneyland wegen der Corona-Pandemie stillgelegt, nun hat der beliebte Freizeitpark in Kalifornien wieder auf.",world,1,2021-05-01
2,20 minuten,"Verdacht auf Menschenschmuggel : US-Polizei findet 91 Menschen ohne Papiere in Wohnhaus. Auf Hinweis einer Entführung finden Polizeibeamte in Houston, im US-Bundesstaat Texas, 91 Frauen und Männer ohne gültige Aufenthaltspapiere.",world,0,2021-05-01
3,20 minuten,"Australien macht ernst : Bis zu fünf Jahre Gefängnis für Heimkehrer aus Hochrisikogebieten. Australien plant radikale Massnahmen für Personen, die illegal aus Corona-Hochrisikogebieten wie Indien einreisen: Ihnen könnte künftig bis zu fünf Jahren Gefängnis drohen.",world,0,2021-04-30
4,blick,Indonesien: Veronika Troshina droht Knast wegen Porno-Dreh auf Bali. Für den Dreh eines Amateur-Sexclips haben sich die Russin Veronika Troshina (22) und ihr Partner ausgerechnet einen heiligen Berg auf Bali ausgesucht. Dafür sucht sie nun die Polizei,world,0,2021-04-30
5,blick,Die grossen Probleme von Premier Boris Johnson - Untersuchung im Gang. Der englische Premier Minister Boris Johnson (56) kann sich vor Kritik kaum retten. Ihm wird unter anderem die Verwendung von Spendengeldern für persönliche Zwecke vorgeworfen.,world,0,2021-04-30
6,20 minuten,"Tomas Karlsson : Hobby-Kartograph findet 2500 Jahre alten Schatz aus der Bronze-Zeit. Der Schwede Tomas Karlsson entdeckte einen Schatz. Zunächst hielt er die Stücke, die er fand für Müll. Doch damit irrte er sich. Sein Fund sorgt für Aufsehen.",world,1,2021-04-30
7,20 minuten,Doppelmutante B.1.617 : So gefährlich ist die indische Corona-Mutante für Geimpfte und Genesene. Die Corona-Fallzahlen aus Indien verheissen nichts Gutes: Tag für Tag melden die Behörden Höchststände bei Neuinfektionen und Toten. Vorsichtig gute Nachrichten gibts zur erstmals in Indien aufgetauchten Virusvariante B.1.617.,world,0,2021-04-30
8,blick,"Zoonosen: Droht nun eine Mers-Pandemie?. Die Atemwegserkrankung Middle East Respiratory Syndrome, kurz Mers, hatte 2012 für Schlagzeilen gesorgt. Mehr als 850 Menschen starben daran. In Kenia wird derzeit befürchtet, der Erreger, der unter Kamelen grassiert, könnte mutieren und auf Menschen übergehen.",world,0,2021-04-30
9,blick,"Forscherin untersucht Krankheit der schlafenden Kinder von Schweden. In Schweden fallen Flüchtlingskinder teilweise über Jahre in einen komaartigen Zustand. Ist etwa alles nur gespielt? Nein, sagt eine Neurologin, die der Schlafkrankheit auf den Grund gegangen ist.",world,0,2021-04-30
